frequency_rank,character,pinyin,pinyin_alternates,common_word_1,common_word_1_pinyin,common_word_1_definition,common_word_2,common_word_2_pinyin,common_word_2_definition,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num,traditional_character,same_simp_trad,alternate_characters
1,的,de,dí|dì,,,,,,,"possessive, adjectival suffix",白,106.3,8,1.0,1155.0,,True,
2,一,yī,,,,,,,,"one; a, an; alone",一,1.0,1,1.0,1.0,,True,
3,是,shì,,,,,,,,"indeed, yes, right; to be; demonstrative pronoun, this, that",日,72.5,9,1.0,1479.0,,True,
4,不,bù,fǒu,,,,,,,"no, not; un-; negative prefix",一,1.3,4,1.0,91.0,,True,
5,了,le,liǎo,,,,,,,to finish; particle of completed action,亅,6.1,2,1.0,17.0,,True,
6,在,zài,,,,,,,,"be at, in, on; consist in, rest",土,32.3,6,1.0,388.0,,True,
7,人,rén,,,,,,,,man; people; mankind; someone else,人,9.0,2,1.0,10.0,,True,
8,有,yǒu,yòu,,,,,,,"have, own, possess; exist",月,74.2,6,1.0,390.0,,True,
9,我,wǒ,,,,,,,,"our, us, i, me, my, we",戈,62.3,7,1.0,761.0,,True,
10,他,tā,,,,,,,,"other, another; he, she, it",人,9.3,5,1.0,277.0,,True,
11,这,zhè,zhèi,,,,,,,"this, the, here",辵,162.4,7,1.0,837.0,這,False,這
12,个,gè,gě,,,,,,,"numerary adjunct, piece; single",丨,2.2,3,1.0,45.0,個,False,個
13,们,men,,,,,,,,adjunct pronoun indicate plural,人,9.3,5,1.0,273.0,們,False,們
14,中,zhōng,zhòng,,,,,,,"central; center, middle; in the midst of; hit (target); attain",丨,2.3,4,1.0,113.0,,True,
15,来,lái,,,,,,,,"come, coming; return, returning",木,75.3,7,1.0,707.0,來,False,來
16,上,shàng,shǎng,,,,,,,"top; superior, highest; go up, send up",一,1.2,3,1.0,36.0,,True,
17,大,dà,dài|tài,,,,,,,"big, great, vast, large, high",大,37.0,3,1.0,32.0,,True,
18,为,wèi,wéi,,,,,,,"do, handle, govern, act; be",丶,3.3,4,2.0,165.0,爲,False,為|爲
19,和,hé,hè|huó|huò|hú,,,,,,,"harmony, peace; peaceful, calm",口,30.5,8,1.0,1131.0,,True,
20,国,guó,,,,,,,,"nation, country, nation-state",囗,31.5,8,1.0,1081.0,國,False,國
21,地,de,dì,,,,,,,"earth; soil, ground; region",土,32.3,6,3.0,366.0,,True,
22,到,dào,,,,,,,,"go to, arrive, been to",刀,18.6,8,2.0,1063.0,,True,
23,以,yǐ,,,,,,,,"by means of; thereby, therefore; consider as; in order to",人,9.3,4,2.0,182.0,,True,
24,说,shuō,shuì|yuè,,,,,,,"speak, say, talk; scold, upbraid",言,149.7,9,1.0,1717.0,說,False,說
25,时,shí,,,,,,,,"time, season; era, age, period",日,72.3,7,1.0,717.0,時,False,時
26,要,yào,yāo,,,,,,,"necessary, essential; necessity",襾,146.3,9,2.0,1441.0,,True,
27,就,jiù,,,,,,,,"just, simply; to come, go to; to approach, near",尢,43.9,12,2.0,2728.0,,True,
28,出,chū,,,,,,,,"go out, send out; stand; produce",凵,17.3,5,1.0,330.0,,True,
29,会,huì,kuài,,,,,,,"assemble, meet together; meeting",人,9.4,6,1.0,486.0,會,False,會
30,可,kě,kè,,,,,,,"may, can, -able; possibly",口,30.2,5,2.0,212.0,,True,
31,也,yě,,,,,,,,also; classical final particle of strong affirmation or identity,乙,5.2,3,2.0,66.0,,True,
32,你,nǐ,,,,,,,,"you, second person pronoun",人,9.5,7,1.0,782.0,,True,
33,对,duì,,,,,,,,"correct, right; facing, opposed",寸,41.2,5,1.0,341.0,對,False,對
34,生,shēng,,,,,,,,"life, living, lifetime; birth",生,100.0,5,1.0,263.0,,True,
35,能,néng,nài,,,,,,,"to be able; can, permitted to; ability",肉,130.6,10,1.0,2146.0,,True,
36,而,ér,,,,,,,,and; and then; and yet; but,而,126.0,6,3.0,392.0,,True,
37,子,zi,,,,,,,,"offspring, child; fruit, seed of; 1st terrestrial branch",子,39.0,3,1.0,64.0,,True,
38,那,nà,nǎ|nèi|nā,,,,,,,"that, that one, those",邑,163.4,6,1.0,564.0,,True,
39,得,dé,děi|de,,,,,,,"obtain, get, gain, acquire",彳,60.8,11,2.0,2341.0,,True,
40,于,yú,,,,,,,,"in, on, at; go to; surname",二,7.1,3,3.0,24.0,於,False,於
41,着,zhe,zhuó|zháo|zhāo,,,,,,,"make move, take action",目,109.6,11,2.0,2398.0,,True,
42,下,xià,,,,,,,,"under, underneath, below; down; inferior; bring down",一,1.2,3,1.0,30.0,,True,
43,自,zì,,,,,,,,"self, private, personal; from",自,132.0,6,3.0,477.0,,True,
44,之,zhī,,,,,,,,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,4.3,3,4.0,58.0,,True,
45,年,nián,,,,,,,,,干,51.3,6,1.0,444.0,,True,
46,过,guò,guo|guō,,,,,,,"pass, pass through, go across",辵,162.3,6,2.0,379.0,過,False,過
47,发,fā,fà,,,,,,,"issue, dispatch, send out; hair",又,29.3,5,3.0,339.0,發,False,發|髮
48,后,hòu,,,,,,,,"queen, empress, sovereign; (simp. for",口,30.3,6,1.0,482.0,後,False,後
49,作,zuò,,,,,,,,"make; work; compose, write; act, perform",人,9.5,7,1.0,777.0,,True,
50,里,lǐ,,,,,,,,unit of distance; village; lane,里,166.0,7,1.0,721.0,裏,False,裏|裡
51,用,yòng,,,,,,,,"use, employ, apply, operate; use",用,101.0,5,3.0,283.0,,True,
52,道,dào,,,,,,,,"path, road, street; method, way",辵,162.9,12,2.0,2745.0,,True,
53,行,xíng,háng,,,,,,,"go; walk; move, travel; circulate",行,144.0,6,3.0,483.0,,True,
54,所,suǒ,,,,,,,,"place, location; numerary adjunct",戶,63.4,8,2.0,1164.0,,True,
55,然,rán,,,,,,,,"yes, certainly; pledge, promise",火,86.8,12,2.0,2723.0,,True,
56,家,jiā,jia|jie,,,,,,,"house, home, residence; family",宀,40.7,10,1.0,2099.0,,True,
57,种,zhǒng,zhòng|chóng,,,,,,,"seed; race, breed; to plant",禾,115.4,9,3.0,1549.0,種,False,種
58,事,shì,,,,,,,,"affair, matter, business; to serve; accident, incident",亅,6.7,8,2.0,1038.0,,True,
59,成,chéng,,,,,,,,"completed, finished, fixed",戈,62.3,6,3.0,401.0,,True,
60,方,fāng,,,,,,,,"a square, rectangle; a region; local",方,70.0,4,3.0,163.0,,True,
61,多,duō,,,,,,,,"much, many; more than, over",夕,36.3,6,1.0,507.0,,True,
62,经,jīng,,,,,,,,classic works; pass through,糸,120.5,8,2.0,1350.0,經,False,經
63,么,me,mó|ma|yāo,,,,,,,interrogative particle; repetition of a tune small; tender,丿,4.2,3,1.0,48.0,麼,False,麼
64,去,qù,,,,,,,,"go away, leave, depart",厶,28.3,5,1.0,204.0,,True,
