character,traditional_character,alternate_characters,pinyin,hsk_level,frequency,definition
"的","","","de","1","1","possessive, adjectival suffix"
"一","","","yī","1","2","one; a, an; alone"
"是","","","shì","1","3","indeed, yes, right; to be; demonstrative pronoun, this, that"
"不","","","bù","1","4","no, not; un-; negative prefix"
"了","","","le","1","5","to finish; particle of completed action"
"在","","","zài","1","6","be at, in, on; consist in, rest"
"人","","","rén","1","7","man; people; mankind; someone else"
"有","","","yǒu","1","8","have, own, possess; exist"
"我","","","wǒ","1","9","our, us, i, me, my, we"
"他","","","tā","1","10","other, another; he, she, it"
"这","這","這","zhè","1","11","this, the, here"
"个","個","個","gè","1","12","numerary adjunct, piece; single"
"们","們","們","men","1","13","adjunct pronoun indicate plural"
"中","","","zhōng","1","14","central; center, middle; in the midst of; hit (target); attain"
"来","來","來","lái","1","15","come, coming; return, returning"
"上","","","shàng","1","16","top; superior, highest; go up, send up"
"大","","","dà","1","17","big, great, vast, large, high"
"为","爲","為|爲","wèi","2","18","do, handle, govern, act; be"
"和","","","hé","1","19","harmony, peace; peaceful, calm"
"国","國","國","guó","1","20","nation, country, nation-state"
"地","","","de","3","21","earth; soil, ground; region"
"到","","","dào","2","22","go to, arrive, been to"
"以","","","yǐ","2","23","by means of; thereby, therefore; consider as; in order to"
"说","說","說","shuō","1","24","speak, say, talk; scold, upbraid"
"时","時","時","shí","1","25","time, season; era, age, period"
"要","","","yào","2","26","necessary, essential; necessity"
"就","","","jiù","2","27","just, simply; to come, go to; to approach, near"
"出","","","chū","1","28","go out, send out; stand; produce"
"会","會","會","huì","1","29","assemble, meet together; meeting"
"可","","","kě","2","30","may, can, -able; possibly"
"也","","","yě","2","31","also; classical final particle of strong affirmation or identity"
"你","","","nǐ","1","32","you, second person pronoun"
"对","對","對","duì","1","33","correct, right; facing, opposed"
"生","","","shēng","1","34","life, living, lifetime; birth"
"能","","","néng","1","35","to be able; can, permitted to; ability"
"而","","","ér","3","36","and; and then; and yet; but"
"子","","","zi","1","37","offspring, child; fruit, seed of; 1st terrestrial branch"
"那","","","nà","1","38","that, that one, those"
"得","","","dé","2","39","obtain, get, gain, acquire"
"于","於","於","yú","3","40","in, on, at; go to; surname"
"着","","","zhe","2","41","make move, take action"
"下","","","xià","1","42","under, underneath, below; down; inferior; bring down"
"自","","","zì","3","43","self, private, personal; from"
"之","","","zhī","4","44","marks preceding phrase as modifier of following phrase; it, him her, them; go to"
"年","","","nián","1","45",""
"过","過","過","guò","2","46","pass, pass through, go across"
"发","發","發|髮","fā","3","47","issue, dispatch, send out; hair"
"后","後","後","hòu","1","48","queen, empress, sovereign; (simp. for"
"作","","","zuò","1","49","make; work; compose, write; act, perform"
"里","裏","裏|裡","lǐ","1","50","unit of distance; village; lane"
"用","","","yòng","3","51","use, employ, apply, operate; use"
"道","","","dào","2","52","path, road, street; method, way"
"行","","","xíng","3","53","go; walk; move, travel; circulate"
"所","","","suǒ","2","54","place, location; numerary adjunct"
"然","","","rán","2","55","yes, certainly; pledge, promise"
"家","","","jiā","1","56","house, home, residence; family"
"种","種","種","zhǒng","3","57","seed; race, breed; to plant"
"事","","","shì","2","58","affair, matter, business; to serve; accident, incident"
"成","","","chéng","3","59","completed, finished, fixed"
"方","","","fāng","3","60","a square, rectangle; a region; local"
"多","","","duō","1","61","much, many; more than, over"
"经","經","經","jīng","2","62","classic works; pass through"
"么","麼","麼","me","1","63","interrogative particle; repetition of a tune small; tender"
"去","","","qù","1","64","go away, leave, depart"
"法","","","fǎ","3","65","law, rule, regulation, statute; France, French"
"学","學","學","xué","1","66","learning, knowledge; school"
"如","","","rú","3","67","if, supposing; as if; like, as"
"都","","","dōu","1","68","metropolis, capital; all, the whole; elegant, refined"
"同","","","tóng","1","69","same, similar; together with"
"现","現","現","xiàn","1","70","appear, manifest, become visible"
"当","當","當","dāng","3","71","bear, accept, undertake; just"
"没","沒","沒","méi","1","72","not, have not, none; drown, sink"
"动","動","動","dòng","2","73","move, happen; movement, action"
"面","","麵","miàn","1","74","face; surface; plane; side, dimension"
"起","","","qǐ","1","75","rise, stand up; go up; begin"
"看","","","kàn","1","76","look, see; examine, scrutinize"
"定","","","dìng","3","77","decide, settle, fix"
