character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
的,,,de,"possessive, adjectival suffix",1,1
一,,,yī,"one; a, an; alone",1,2
是,,,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",1,3
不,,,bù,"no, not; un-; negative prefix",1,4
了,,,le,to finish; particle of completed action,1,5
在,,,zài,"be at, in, on; consist in, rest",1,6
人,,,rén,man; people; mankind; someone else,1,7
有,,,yǒu,"have, own, possess; exist",1,8
我,,,wǒ,"our, us, i, me, my, we",1,9
他,,,tā,"other, another; he, she, it",1,10
这,這,這,zhè,"this, the, here",1,11
个,個,個,gè,"numerary adjunct, piece; single",1,12
们,們,們,men,adjunct pronoun indicate plural,1,13
中,,,zhōng,"central; center, middle; in the midst of; hit (target); attain",1,14
来,來,來,lái,"come, coming; return, returning",1,15
上,,,shàng,"top; superior, highest; go up, send up",1,16
大,,,dà,"big, great, vast, large, high",1,17
为,爲,為|爲,wèi,"do, handle, govern, act; be",2,18
和,,,hé,"harmony, peace; peaceful, calm",1,19
国,國,國,guó,"nation, country, nation-state",1,20
地,,,de,"earth; soil, ground; region",3,21
到,,,dào,"go to, arrive, been to",2,22
以,,,yǐ,"by means of; thereby, therefore; consider as; in order to",2,23
说,說,說,shuō,"speak, say, talk; scold, upbraid",1,24
时,時,時,shí,"time, season; era, age, period",1,25
要,,,yào,"necessary, essential; necessity",2,26
就,,,jiù,"just, simply; to come, go to; to approach, near",2,27
出,,,chū,"go out, send out; stand; produce",1,28
会,會,會,huì,"assemble, meet together; meeting",1,29
可,,,kě,"may, can, -able; possibly",2,30
也,,,yě,also; classical final particle of strong affirmation or identity,2,31
你,,,nǐ,"you, second person pronoun",1,32
对,對,對,duì,"correct, right; facing, opposed",1,33
生,,,shēng,"life, living, lifetime; birth",1,34
能,,,néng,"to be able; can, permitted to; ability",1,35
而,,,ér,and; and then; and yet; but,3,36
子,,,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",1,37
那,,,nà,"that, that one, those",1,38
得,,,dé,"obtain, get, gain, acquire",2,39
于,於,於,yú,"in, on, at; go to; surname",3,40
着,,,zhe,"make move, take action",2,41
下,,,xià,"under, underneath, below; down; inferior; bring down",1,42
自,,,zì,"self, private, personal; from",3,43
之,,,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",4,44
年,,,nián,,1,45
过,過,過,guò,"pass, pass through, go across",2,46
发,發,發|髮,fā,"issue, dispatch, send out; hair",3,47
后,後,後,hòu,"queen, empress, sovereign; (simp. for",1,48
作,,,zuò,"make; work; compose, write; act, perform",1,49
里,裏,裏|裡,lǐ,unit of distance; village; lane,1,50
用,,,yòng,"use, employ, apply, operate; use",3,51
道,,,dào,"path, road, street; method, way",2,52
行,,,xíng,"go; walk; move, travel; circulate",3,53
所,,,suǒ,"place, location; numerary adjunct",2,54
然,,,rán,"yes, certainly; pledge, promise",2,55
家,,,jiā,"house, home, residence; family",1,56
种,種,種,zhǒng,"seed; race, breed; to plant",3,57
事,,,shì,"affair, matter, business; to serve; accident, incident",2,58
成,,,chéng,"completed, finished, fixed",3,59
方,,,fāng,"a square, rectangle; a region; local",3,60
多,,,duō,"much, many; more than, over",1,61
经,經,經,jīng,classic works; pass through,2,62
么,麼,麼,me,interrogative particle; repetition of a tune small; tender,1,63
去,,,qù,"go away, leave, depart",1,64
法,,,fǎ,"law, rule, regulation, statute; France, French",3,65
学,學,學,xué,"learning, knowledge; school",1,66
如,,,rú,"if, supposing; as if; like, as",3,67
都,,,dōu,"metropolis, capital; all, the whole; elegant, refined",1,68
同,,,tóng,"same, similar; together with",1,69
现,現,現,xiàn,"appear, manifest, become visible",1,70
当,當,當,dāng,"bear, accept, undertake; just",3,71
没,沒,沒,méi,"not, have not, none; drown, sink",1,72
动,動,動,dòng,"move, happen; movement, action",2,73
面,,麵,miàn,"face; surface; plane; side, dimension",1,74
起,,,qǐ,"rise, stand up; go up; begin",1,75
看,,,kàn,"look, see; examine, scrutinize",1,76
定,,,dìng,"decide, settle, fix",3,77
天,,,tiān,"sky, heaven; god, celestial",1,78
分,,,fēn,divide; small unit of time etc.,1,79
还,還,還,hái,"still, yet, also, besides",2,80
进,進,進,jìn,"advance, make progress, enter",2,81
好,,,hǎo,"good, excellent, fine; well",1,82
小,,,xiǎo,"small, tiny, insignificant",1,83
部,,,bù,"part, division, section",4,84
其,,,qí,"his, her, its, their; that",3,85
些,,,xiē,"little, few; rather, somewhat",1,86
主,,,zhǔ,"master, chief owner; host; lord",3,87
样,樣,樣,yàng,"shape, form, pattern, style",1,88
理,,,lǐ,"reason, logic; manage",3,89
心,,,xīn,"heart; mind, intelligence; soul",3,90
她,,,tā,"she, her",1,91
本,,,běn,"root, origin, source; basis",1,92
前,,,qián,"in front, forward; preceding",1,93
开,開,開,kāi,"open; initiate, begin, start",1,94
但,,,dàn,"only; but, however, yet, still",2,95
因,,,yīn,"cause, reason; by; because (of)",2,96
只,,隻,zhǐ,"only, just, simply",3,97
从,從,從,cóng,"from, by, since, whence, through",2,98
想,,,xiǎng,"think, speculate, plan, consider",1,99
实,實,實,shí,"real, true; honest, sincere",3,100
日,,,rì,sun; day; daytime,2,101
军,軍,軍,jūn,"army, military; soldiers, troops",5,102
者,,,zhě,that which; he who; those who,3,103
意,,,yì,"thought, idea, opinion; think",2,104
无,無,無,wú,"negative, no, not; KangXi radical 71",4,105
力,,,lì,"power, capability, influence",3,106
它,,,tā,it; other,2,107
与,與,與,yǔ,"and; with; to; for; give, grant",4,108
长,長,長,zhǎng,long; length; excel in; leader,2,109
把,,,bǎ,"hold, take; guard; regard as",3,110
机,機,機,jī,desk; machine; moment,1,111
十,,,shí,"ten, tenth; complete; perfect",1,112
民,,,mín,"people, subjects, citizens",4,113
第,,,dì,"sequence, number; grade, degree",2,114
公,,,gōng,"fair, equitable; public; duke",2,115
此,,,cǐ,"this, these; in this case, then",4,116
已,,,yǐ,already; finished; stop,2,117
工,,,gōng,"labor, work; worker, laborer",1,118
使,,,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",4,119
情,,,qíng,"feeling, sentiment, emotion",2,120
明,,,míng,"bright, light, brilliant; clear",1,121
性,,,xìng,"nature, character, sex",4,122
知,,,zhī,"know, perceive, comprehend",2,123
全,,,quán,"maintain, keep whole or intact",4,124
三,,,sān,three,1,125
又,,,yòu,"and, also, again, in addition",3,126
关,關,關,guān,frontier pass; close; relation,1,127
点,點,點,diǎn,"dot, speck, spot; point, degree",1,128
正,,,zhèng,"right, proper, correct",2,129
业,業,業,yè,"profession, business; GB radical 111",3,130
外,,,wài,"out, outside, external; foreign",2,131
将,將,將,jiāng,"will, going to, future; general",4,132
两,兩,兩,liǎng,"two, both, pair, couple; ounce",2,133
高,,,gāo,"high, tall; lofty, elevated",1,134
间,間,間,jiān,"midpoint, space; place, locality",2,135
由,,,yóu,"cause, reason; from",4,136
问,問,問,wèn,"ask about, inquire after",2,137
很,,,hěn,"very, quite, much",1,138
最,,,zuì,"most, extremely, exceedingly",2,139
重,,,zhòng,"heavy, weighty; double",3,140
并,並,並,bìng,,4,141
物,,,wù,"thing, substance, creature",3,142
手,,,shǒu,hand,2,143
应,應,應,yīng,"should, ought to, must",3,144
战,戰,戰,zhàn,"war, fighting, battle",5,145
向,,,xiàng,"toward, direction, trend",3,146
头,頭,頭,tóu,"head; top; chief, first; boss",3,147
文,,,wén,"literature, culture, writing",3,148
体,體,體,tǐ,"body; group, class, body, unit; inferior",2,149
政,,,zhèng,"government, political affairs",5,150
美,,,měi,"beautiful, pretty; pleasing",4,151
相,,,xiāng,"mutual, reciprocal, each other",3,152
见,見,見,jiàn,"see, observe, behold; perceive",1,153
被,,,bèi,,3,154
利,,,lì,"gains, advantage, profit, merit",4,155
什,,,shén,"file of ten soldiers; mixed, miscellaneous",1,156
二,,,èr,two; twice,1,157
等,,,děng,,2,158
产,產,產,chǎn,"give birth, bring forth, produce",5,159
或,,,huò,"or, either, else; perhaps, maybe",3,160
新,,,xīn,"new, recent, fresh, modern",2,161
己,,,jǐ,"self, oneself; personal, private; 6th heavenly stem",3,162
制,,,zhì,system; establish; overpower,5,163
身,,,shēn,"body; trunk, hull; rad. no. 158",2,164
果,,,guǒ,fruit; result,1,165
加,,,jiā,"add to, increase, augment",3,166
西,,,xī,"west(ern); westward, occident",1,167
斯,,,sī,"this, thus, such; to lop off; emphatic particle",6,168
月,,,yuè,moon; month; KangXi radical 74,1,169
话,話,話,huà,"speech, talk, language; dialect",1,170
合,,,hé,"combine, unite, join; gather",4,171
回,,,huí,"return, turn around; a time",1,172
特,,,tè,"special, unique, distinguished",3,173
代,,,dài,"replace, replacement (of person or generation); era, generation",5,174
内,內,內,nèi,inside,4,175
信,,,xìn,"trust, believe; letter",3,176
表,,,biǎo,"show, express, manifest, display",2,177
化,,,huà,"change, convert, reform; -ize",3,178
老,,,lǎo,"old, aged; experienced",1,179
给,給,給,gěi,"give; by, for",2,180
世,,,shì,generation; world; era,3,181
位,,,wèi,"throne; position, post; rank, status; seat",3,182
次,,,cì,"order, sequence; next",2,183
度,,,dù,"degree, system; manner; to consider",4,184
门,門,門,mén,"gate, door, entrance, opening",2,185
任,,,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",4,186
常,,,cháng,"common, normal, frequent, regular",2,187
先,,,xiān,"first, former, previous",1,188
